date,fund,family,method,return,growth_of_one,drawdown
2021-01-04,Combined Equal Weight,Combined,equal_weight,-0.0038907547941801606,0.9961092452058199,0.0
2021-01-05,Combined Equal Weight,Combined,equal_weight,0.018120376539992038,1.0141591198039166,0.0
2021-01-06,Combined Equal Weight,Combined,equal_weight,0.04018247716107984,1.0549105454731385,0.0
2021-01-07,Combined Equal Weight,Combined,equal_weight,0.010143704534638193,1.065611246356892,0.0
2021-01-08,Combined Equal Weight,Combined,equal_weight,0.0012208607118854038,1.0669122092617123,0.0
2021-01-11,Combined Equal Weight,Combined,equal_weight,-0.021524225782496312,1.0439477499794612,-0.021524225782496353
2021-01-12,Combined Equal Weight,Combined,equal_weight,-0.0006109898860971223,1.0433099084626098,-0.0221220645843343
2021-01-13,Combined Equal Weight,Combined,equal_weight,0.013803567861465395,1.0577113075846127,-0.00862386014259453
2021-01-14,Combined Equal Weight,Combined,equal_weight,0.005860779073975744,1.0639103198824122,-0.0028136236076793386
2021-01-15,Combined Equal Weight,Combined,equal_weight,-0.015495323336940951,1.047424685474326,-0.018265348937070658
2021-01-19,Combined Equal Weight,Combined,equal_weight,0.007634480717274241,1.055421229038377,-0.010770314674050652
2021-01-20,Combined Equal Weight,Combined,equal_weight,0.005661901921990958,1.0613969205235796,-0.005169393217413054
2021-01-21,Combined Equal Weight,Combined,equal_weight,-0.027791277934350517,1.031899343706645,-0.03281700710810653
2021-01-22,Combined Equal Weight,Combined,equal_weight,0.007759507727108146,1.0399063746377346,-0.025312143201234205
2021-01-25,Combined Equal Weight,Combined,equal_weight,-0.002077719675077335,1.0377457407029114,-0.027337271338364055
2021-01-26,Combined Equal Weight,Combined,equal_weight,-0.004617090510871493,1.0329543746908147,-0.031828143193145975
2021-01-27,Combined Equal Weight,Combined,equal_weight,-0.03390197079643123,0.9979351856460009,-0.06465107720853847
2021-01-28,Combined Equal Weight,Combined,equal_weight,0.024511344724528244,1.022395918994106,-0.041724417324280894
2021-01-29,Combined Equal Weight,Combined,equal_weight,-0.0076170751428229,1.0146082524534124,-0.0490236744450544
2021-02-01,Combined Equal Weight,Combined,equal_weight,0.010204431715737181,1.0249617530837967,-0.03931950146764629
