fund,family,method,rebalance_date,estimation_start,estimation_end,holding_end,observations,turnover,max_weight_observed
Equity Equal Weight,Equity,equal_weight,2021-01-04,2020-01-03,2020-12-31,2021-01-29,252,0.0,0.02
Equity Equal Weight,Equity,equal_weight,2021-02-01,2020-01-31,2021-01-29,2021-02-26,252,0.0,0.02
Equity Equal Weight,Equity,equal_weight,2021-03-01,2020-02-28,2021-02-26,2021-03-31,252,0.0,0.02
Equity Equal Weight,Equity,equal_weight,2021-04-01,2020-04-01,2021-03-31,2021-04-30,252,0.0,0.02
Equity Equal Weight,Equity,equal_weight,2021-05-03,2020-05-01,2021-04-30,2021-05-28,252,0.0,0.02
Equity Equal Weight,Equity,equal_weight,2021-06-01,2020-06-01,2021-05-28,2021-06-30,252,0.0,0.02
Equity Equal Weight,Equity,equal_weight,2021-07-01,2020-07-01,2021-06-30,2021-07-30,252,0.0,0.02
Equity Equal Weight,Equity,equal_weight,2021-08-02,2020-07-31,2021-07-30,2021-08-31,252,0.0,0.02
Equity Equal Weight,Equity,equal_weight,2021-09-01,2020-09-01,2021-08-31,2021-09-30,252,0.0,0.02
Equity Equal Weight,Equity,equal_weight,2021-10-01,2020-10-01,2021-09-30,2021-10-29,252,0.0,0.02
Equity Equal Weight,Equity,equal_weight,2021-11-01,2020-10-30,2021-10-29,2021-11-30,252,0.0,0.02
Equity Equal Weight,Equity,equal_weight,2021-12-01,2020-12-01,2021-11-30,2021-12-31,252,0.0,0.02
Equity Equal Weight,Equity,equal_weight,2022-01-03,2021-01-04,2021-12-31,2022-01-31,252,0.0,0.02
Equity Equal Weight,Equity,equal_weight,2022-02-01,2021-02-02,2022-01-31,2022-02-28,252,0.0,0.02
Equity Equal Weight,Equity,equal_weight,2022-03-01,2021-03-02,2022-02-28,2022-03-31,252,0.0,0.02
Equity Equal Weight,Equity,equal_weight,2022-04-01,2021-04-05,2022-03-31,2022-04-29,252,0.0,0.02
Equity Equal Weight,Equity,equal_weight,2022-05-02,2021-05-03,2022-04-29,2022-05-31,252,0.0,0.02
Equity Equal Weight,Equity,equal_weight,2022-06-01,2021-06-02,2022-05-31,2022-06-30,252,0.0,0.02
Equity Equal Weight,Equity,equal_weight,2022-07-01,2021-07-01,2022-06-30,2022-07-29,252,0.0,0.02
Equity Equal Weight,Equity,equal_weight,2022-08-01,2021-07-30,2022-07-29,2022-08-31,252,0.0,0.02
Equity Equal Weight,Equity,equal_weight,2022-09-01,2021-09-01,2022-08-31,2022-09-30,252,0.0,0.02
Equity Equal Weight,Equity,equal_weight,2022-10-03,2021-10-01,2022-09-30,2022-10-31,252,0.0,0.02
Equity Equal Weight,Equity,equal_weight,2022-11-01,2021-11-01,2022-10-31,2022-11-30,252,0.0,0.02
Equity Equal Weight,Equity,equal_weight,2022-12-01,2021-12-01,2022-11-30,2022-12-30,252,0.0,0.02
Equity Equal Weight,Equity,equal_weight,2023-01-03,2021-12-31,2022-12-30,2023-01-31,252,0.0,0.02
Equity Equal Weight,Equity,equal_weight,2023-02-01,2022-01-31,2023-01-31,2023-02-28,252,0.0,0.02
Equity Equal Weight,Equity,equal_weight,2023-03-01,2022-02-28,2023-02-28,2023-03-31,252,0.0,0.02
Equity Equal Weight,Equity,equal_weight,2023-04-03,2022-03-31,2023-03-31,2023-04-28,252,0.0,0.02
Equity Equal Weight,Equity,equal_weight,2023-05-01,2022-04-28,2023-04-28,2023-05-31,252,0.0,0.02
Equity Equal Weight,Equity,equal_weight,2023-06-01,2022-05-31,2023-05-31,2023-06-30,252,0.0,0.02
Equity Equal Weight,Equity,equal_weight,2023-07-03,2022-06-30,2023-06-30,2023-07-31,252,0.0,0.02
Equity Equal Weight,Equity,equal_weight,2023-08-01,2022-07-29,2023-07-31,2023-08-31,252,0.0,0.02
Equity Equal Weight,Equity,equal_weight,2023-09-01,2022-08-31,2023-08-31,2023-09-29,252,0.0,0.02
Equity Equal Weight,Equity,equal_weight,2023-10-02,2022-09-29,2023-09-29,2023-10-31,252,0.0,0.02
Equity Equal Weight,Equity,equal_weight,2023-11-01,2022-10-31,2023-10-31,2023-11-30,252,0.0,0.02
Equity Equal Weight,Equity,equal_weight,2023-12-01,2022-11-30,2023-11-30,2023-12-29,252,0.0,0.02
Equity Minimum Variance,Equity,min_variance,2021-01-04,2020-01-03,2020-12-31,2021-01-29,252,0.0,0.09999999999999996
Equity Minimum Variance,Equity,min_variance,2021-02-01,2020-01-31,2021-01-29,2021-02-26,252,0.011816195297971602,0.09999999999999996
Equity Minimum Variance,Equity,min_variance,2021-03-01,2020-02-28,2021-02-26,2021-03-31,252,0.019330862961981134,0.1
Equity Minimum Variance,Equity,min_variance,2021-04-01,2020-04-01,2021-03-31,2021-04-30,252,0.23696780463238662,0.09999999999999998
Equity Minimum Variance,Equity,min_variance,2021-05-03,2020-05-01,2021-04-30,2021-05-28,252,0.13260827276504586,0.09999999999999998
Equity Minimum Variance,Equity,min_variance,2021-06-01,2020-06-01,2021-05-28,2021-06-30,252,0.09785348372664203,0.1
Equity Minimum Variance,Equity,min_variance,2021-07-01,2020-07-01,2021-06-30,2021-07-30,252,0.14934340964829626,0.1
Equity Minimum Variance,Equity,min_variance,2021-08-02,2020-07-31,2021-07-30,2021-08-31,252,0.06239192650652764,0.1
Equity Minimum Variance,Equity,min_variance,2021-09-01,2020-09-01,2021-08-31,2021-09-30,252,0.04604357120754964,0.09999999999999998
Equity Minimum Variance,Equity,min_variance,2021-10-01,2020-10-01,2021-09-30,2021-10-29,252,0.15289704743437743,0.1
Equity Minimum Variance,Equity,min_variance,2021-11-01,2020-10-30,2021-10-29,2021-11-30,252,0.13585524070281388,0.1
Equity Minimum Variance,Equity,min_variance,2021-12-01,2020-12-01,2021-11-30,2021-12-31,252,0.18033997490616727,0.09999999999999998
Equity Minimum Variance,Equity,min_variance,2022-01-03,2021-01-04,2021-12-31,2022-01-31,252,0.11754594036470951,0.1
Equity Minimum Variance,Equity,min_variance,2022-02-01,2021-02-02,2022-01-31,2022-02-28,252,0.284716390985635,0.09999999999999998
Equity Minimum Variance,Equity,min_variance,2022-03-01,2021-03-02,2022-02-28,2022-03-31,252,0.24114182679655588,0.10000000000000002
Equity Minimum Variance,Equity,min_variance,2022-04-01,2021-04-05,2022-03-31,2022-04-29,252,0.14948884754222805,0.10000000000000002
Equity Minimum Variance,Equity,min_variance,2022-05-02,2021-05-03,2022-04-29,2022-05-31,252,0.22076724953752716,0.09999999999999998
Equity Minimum Variance,Equity,min_variance,2022-06-01,2021-06-02,2022-05-31,2022-06-30,252,0.1984196305046121,0.1
Equity Minimum Variance,Equity,min_variance,2022-07-01,2021-07-01,2022-06-30,2022-07-29,252,0.1329581531187592,0.10000000000000002
Equity Minimum Variance,Equity,min_variance,2022-08-01,2021-07-30,2022-07-29,2022-08-31,252,0.06385691348492434,0.10000000000000002
Equity Minimum Variance,Equity,min_variance,2022-09-01,2021-09-01,2022-08-31,2022-09-30,252,0.10041636030063357,0.09999999999999998
Equity Minimum Variance,Equity,min_variance,2022-10-03,2021-10-01,2022-09-30,2022-10-31,252,0.14306705710040177,0.1
Equity Minimum Variance,Equity,min_variance,2022-11-01,2021-11-01,2022-10-31,2022-11-30,252,0.0966429684263564,0.10000000000000002
Equity Minimum Variance,Equity,min_variance,2022-12-01,2021-12-01,2022-11-30,2022-12-30,252,0.09328959989678402,0.10000000000000002
Equity Minimum Variance,Equity,min_variance,2023-01-03,2021-12-31,2022-12-30,2023-01-31,252,0.04695046739717637,0.09999999999999998
Equity Minimum Variance,Equity,min_variance,2023-02-01,2022-01-31,2023-01-31,2023-02-28,252,0.04394719318218001,0.09999999999999998
Equity Minimum Variance,Equity,min_variance,2023-03-01,2022-02-28,2023-02-28,2023-03-31,252,0.07069572685554566,0.1
Equity Minimum Variance,Equity,min_variance,2023-04-03,2022-03-31,2023-03-31,2023-04-28,252,0.05277194855651815,0.09999999999999998
Equity Minimum Variance,Equity,min_variance,2023-05-01,2022-04-28,2023-04-28,2023-05-31,252,0.052893817739496835,0.09999999999999998
Equity Minimum Variance,Equity,min_variance,2023-06-01,2022-05-31,2023-05-31,2023-06-30,252,0.1187855516893643,0.10000000000000002
Equity Minimum Variance,Equity,min_variance,2023-07-03,2022-06-30,2023-06-30,2023-07-31,252,0.09823531979400327,0.10000000000000002
Equity Minimum Variance,Equity,min_variance,2023-08-01,2022-07-29,2023-07-31,2023-08-31,252,0.05335415256664808,0.10000000000000002
Equity Minimum Variance,Equity,min_variance,2023-09-01,2022-08-31,2023-08-31,2023-09-29,252,0.05346868834901104,0.09999999999999998
Equity Minimum Variance,Equity,min_variance,2023-10-02,2022-09-29,2023-09-29,2023-10-31,252,0.05577076806501966,0.1
Equity Minimum Variance,Equity,min_variance,2023-11-01,2022-10-31,2023-10-31,2023-11-30,252,0.11789944144742517,0.1
Equity Minimum Variance,Equity,min_variance,2023-12-01,2022-11-30,2023-11-30,2023-12-29,252,0.10681633743831548,0.09999999999999998
Equity Maximum Sharpe,Equity,max_sharpe,2021-01-04,2020-01-03,2020-12-31,2021-01-29,252,0.0,0.09999999999999801
Equity Maximum Sharpe,Equity,max_sharpe,2021-02-01,2020-01-31,2021-01-29,2021-02-26,252,0.19625527238889826,0.10000000000025251
Equity Maximum Sharpe,Equity,max_sharpe,2021-03-01,2020-02-28,2021-02-26,2021-03-31,252,0.32831029439675596,0.09999999999999931
Equity Maximum Sharpe,Equity,max_sharpe,2021-04-01,2020-04-01,2021-03-31,2021-04-30,252,0.500824695987857,0.09999999999999715
Equity Maximum Sharpe,Equity,max_sharpe,2021-05-03,2020-05-01,2021-04-30,2021-05-28,252,0.43911938329161354,0.0999999999999977
Equity Maximum Sharpe,Equity,max_sharpe,2021-06-01,2020-06-01,2021-05-28,2021-06-30,252,0.15645840590033055,0.09999999999999708
Equity Maximum Sharpe,Equity,max_sharpe,2021-07-01,2020-07-01,2021-06-30,2021-07-30,252,0.33007516565549,0.09999999999999838
Equity Maximum Sharpe,Equity,max_sharpe,2021-08-02,2020-07-31,2021-07-30,2021-08-31,252,0.22922324366463007,0.09999999999998006
Equity Maximum Sharpe,Equity,max_sharpe,2021-09-01,2020-09-01,2021-08-31,2021-09-30,252,0.17754329709249325,0.09999999999999457
